good.names,genus,family,order,vol_mean,shape_median,color_most,investment_mean,orn_height_mean
Glomus_chinense,Glomus,Glomeraceae,Glomerales,105641.289,0.8671875,4,0.415972884,0
Glomus_citricola,Glomus,Glomeraceae,Glomerales,100481.8775,0.625,4,0.586650732,0
Glomus_convolutum,Glomus,Glomeraceae,Glomerales,1275053.427,0.750367812,2,0.394555842,0
Glomus_crenatum,Glomus,Glomeraceae,Glomerales,1937673.611,0.870192308,5,0.33995533,0
Glomus_cubense,Glomus,Glomeraceae,Glomerales,45811.40221,0.5,0,0.310233627,0
Glomus_cuneatum,Glomus,Glomeraceae,Glomerales,889856.1191,0.527777778,5,0.456174447,0
Glomus_delhiense,Glomus,Glomeraceae,Glomerales,727277.3358,0.95,5,0.486373267,0
Glomus_dimorphicum,Glomus,Glomeraceae,Glomerales,4412268.707,0.825,4,0.372148267,0
Glomus_flavisporum,Glomus,Glomeraceae,Glomerales,1407415.976,0.670643798,5,0.284080323,0
Glomus_formosanum,Glomus,Glomeraceae,Glomerales,390734.3646,0.888888889,4,0.504336592,0
Glomus_fuegianum,Glomus,Glomeraceae,Glomerales,158406.3556,0.897058824,5,0.804472299,0
Glomus_glomerulatum,Glomus,Glomeraceae,Glomerales,85968.37397,0.892857143,2,0.602710546,0
Glomus_goaensis,Glomus,Glomeraceae,Glomerales,527274.8753,0.816666667,0,0.412255257,0
Glomus_halonatum,Glomus,Glomeraceae,Glomerales,7042752.598,0.928571429,5,0.53262722,0
Glomus_herrerae,Glomus,Glomeraceae,Glomerales,1937673.611,0.870192308,4,0.638149573,0
Glomus_heterosporum,Glomus,Glomeraceae,Glomerales,1411725.448,0.626041973,5,0.484921547,0
Glomus_hoi,Glomus,Glomeraceae,Glomerales,637792.3961,0.75,5,0.312517199,0
Glomus_hyderabadensis,Glomus,Glomeraceae,Glomerales,805547.5206,0.928308824,4,0.225209935,1.7
Glomus_ibericum,Glomus,Glomeraceae,Glomerales,375890.2492,0.870224252,2,0.506301822,0
Paraglomus_lacteum,Paraglomus,Paraglomeraceae,Paraglomerales,3228564.592,0.920454545,1,0.129399686,0
Glomus_macrocarpum,Glomus,Glomeraceae,Glomerales,823620.874,0.851190476,1,0.445769399,0
Glomus_majewskii,Glomus,Glomeraceae,Glomerales,99023.00044,0.933333333,2,0.525864521,0
Glomus_magnicaule,Glomus,Glomeraceae,Glomerales,1719422.021,0.928571429,5,0.522761203,0
Glomus_melanosporum,Glomus,Glomeraceae,Glomerales,3917249.098,0.725196816,5,0.314052175,0
Rhizoglomus_microaggregatum,Rhizoglomus,Glomeraceae,Glomerales,8835.729338,0.75,0,0.455785926,0
Glomus_microcarpum,Glomus,Glomeraceae,Glomerales,27259.86125,0.826388889,2,0.606027967,0
Glomus_monosporum,Glomus,Glomeraceae,Glomerales,7064841.921,0.856060606,5,0.264243385,0
Glomus_mortonii,Glomus,Glomeraceae,Glomerales,662903.8006,0.543624161,2,0.450056446,0
Glomus_multicaule,Glomus,Glomeraceae,Glomerales,2169324.509,0.684597687,5,0.582111623,2.45
Funneliformis_multiforus,Funneliformis,Glomeraceae,Glomerales,4228550.987,0.895348837,2,0.281001938,-2.1
Glomus_multisubstensum,Glomus,Glomeraceae,Glomerales,996746.6275,0.916666667,5,0.503079352,0
Glomus_mume,Glomus,Glomeraceae,Glomerales,111264.7398,0.31372549,5,0.408277354,0
Glomus_nanolumen,Glomus,Glomeraceae,Glomerales,13138.14048,0.794117647,2,0.919313343,0
