good.names,order,family,genus,color_low,color_most,color_high,orn_height_min,orn_height_mean,orn_height_max,orn_diam_min,orn_diam_mean,orn_diam_max,min_wall_thickness,mean_wall_thickness,max_wall_thickness,dim1.min2,dim1.min,dim1.max,dim1.max2,dim2.min2,dim2.min,dim2.max,dim2.max2
Glomus_bagyarajii,Glomerales,Glomeraceae,Glomus,2,2,5,0,0,0,0,0,0,6.25,7.175,8.1,36,100.8,100.8,125.2,36,100.8,100.8,125.2
Glomus_bareae,Glomerales,Glomeraceae,Glomus,2,2,2,0,0,0,0,0,0,3.4,4.95,6.5,38,61,61,82,38,61,61,82
Glomus_boreale,Glomerales,Glomeraceae,Glomus,4,5,5,0,0,0,0,0,0,8,8,8,125,125,145,145,100,100,110,110
Glomus_botryoides,Glomerales,Glomeraceae,Glomus,4,5,6,0,0,0,0,0,0,5,6,7,145,145,145,145,250,250,250,250
Glomus_brohultii,Glomerales,Glomeraceae,Glomus,2,5,5,0,0,0,0,0,0,3.6,10.3,17,95,95,130,130,70,70,105,105
Redeckera_canadensis,Diversisporales,Diversisporaceae,Redeckera,0,0,2,0,0,0,0,0,0,4,4,4,100,100,100,100,100,100,100,100
Glomus_canum,Glomerales,Glomeraceae,Glomus,2,2,5,0,0,0,0,0,0,2,6,10,30,30,50,50,30,30,50,50
Glomus_cerebriforme,Glomerales,Glomeraceae,Glomus,0,0,3,0,0,0,0,0,0,2,3,4,25,25,65,80,80,80,80,80
Glomus_chinense,Glomerales,Glomeraceae,Glomus,2,4,5,0,0,0,0,0,0,1.7,5.3,7.9,47,64,64,93,47,64,64,93
Glomus_citricola,Glomerales,Glomeraceae,Glomus,2,4,5,0,0,0,0,0,0,4,7,10,35,35,65,65,60,60,90,90
Glomus_convolutum,Glomerales,Glomeraceae,Glomus,0,2,2,0,0,0,0,0,0,5,8,12,81,81,193,193,67,67,193,193
Glomus_crenatum,Glomerales,Glomeraceae,Glomus,5,5,5,0,0,0,0,0,0,5,9,13,100,100,208,208,100,100,208,208
Glomus_cubense,Glomerales,Glomeraceae,Glomus,0,0,2,0,0,0,0,0,0,1.6,2.15,2.7,20,20,48,48,24,54,82,82
